Vi­deo,Vi­deo­ti­tel,Ver­öf­fent­li­chungs­zeit­punkt des Vi­de­os,Auf­ru­fe,Wie­der­ga­be­zeit (Stun­den),Abon­nen­ten,Im­pres­sio­nen,Klick­ra­te der Im­pres­sio­nen (%)
Gy7h-6_29Ns,"WEIMA ZMK 50 shreds hard discs, data media and paper according to DIN 66399-2","May 29, 2020",69,1.4855,-1,329,6.69
PxK1nHraTzI,WEIMA WLK 800 secondary battery shredding,"Nov 18, 2015",67,0.9122,0,1579,2.09
l4s70CeVRV8,WEIMA Maschinenbau Spider Zerkleinerer / Hacker - schreddert IBCs und HDPE Tonnen,"May 29, 2012",67,1.4053,0,1005,2.69
 -KghDCYjrI8,WEIMA Spider 1500 shreds fiber and straw,"Mar 25, 2015",66,0.869,0,1368,1.9
4Bpkr0RKiLY,How successful do you want to be? VDMA wood machinery,"Sep 25, 2014",66,2.1388,0,1474,2.17
iVbSXepyxe8,WEIMA Shredder WLK 10 zerkleinert Papier / paper shredding,"Feb 11, 2013",66,0.9069,0,1124,3.2
KXxPVz27a0U,WEIMA Shredder WLK6S - Gummi-Bahnen Dach,"Dec 21, 2012",65,0.9054,0,572,4.55
UXo9MoFoNrg,Shredding Roof Insulation Rolls with WEIMA ZMK 50,"Mar 8, 2017",65,0.7161,0,1803,1
bYq-ZMjRAtc,WEIMA WLK 800 PS fiber shredder,"Feb 26, 2015",65,0.7466,0,1234,3.24
liIlIk1XwUI,WEIMA WLH  800 Tiger Jumbo - shredding of foam insulation material,"Jun 25, 2018",65,0.7749,0,1905,1.47
oBKlOr4k7aQ,WEIMA Zerkleinerungsmaschine WLK 4 shreddert Carbon-PA-Kunststoff,"Sep 26, 2013",65,0.8363,0,1158,2.85
2O042xH1YfE,WEIMA Spider 1500 H shredding boat building composite tools,"Jan 26, 2015",64,1.138,0,1954,1.64
Ulfr2aPa8aY,WEIMA Single-shaft shredder for plastic applications WKS 1800 Hydro shreds flower pots,"Nov 15, 2018",64,1.058,0,2419,1.9
rVvkA-LJlxE,WEIMA WLK 1500 shreds EPP waste,"Oct 11, 2016",64,0.7336,0,1416,1.98
PUT03hbpLYE,WEIMA WLK 800 foam production waste shredder,"Jun 16, 2016",63,0.6811,0,1729,2.02
eABhpXxXCI8,WEIMA shredder WLK 800 shreds polymer scrap,"Jul 16, 2014",63,0.6931,0,1300,2.46
6610j9iof4c,WEIMA Single-shaft shredders WLK 1500 shreds thermoforming plastics,"Mar 7, 2019",62,1.2179,0,2799,1.54
Zr-ZBph7uP4,WEIMA Maschinenbau Spider 1500H - zerkleinert Kühlschränke / shredding fridges,"May 14, 2012",60,1.0929,0,887,2.71
1_ZQeNpGU3A,WEIMA Einwellen-Zerkleinerer Spider 1500 H zerkleinert Zellstoff,"Sep 20, 2012",59,0.6239,0,890,2.92
36yMJY7R71U,Start metal recycling today!,"Nov 4, 2015",58,0.7224,0,1395,2.37
4IhXMltlRDs,WEIMA Shredder WLK 1500 shreds film rolls,"Jul 26, 2018",58,0.6766,0,1716,2.16
mCHG1vKwK_M,WEIMA WLK 800 shreds carpet edge trims,"Feb 28, 2019",57,1.0378,0,2440,1.23
D11TGYxOtuo,WEIMA WLK 1500 shreds giant piece of plastic,"Apr 27, 2016",56,0.2678,0,1171,2.82
4o_SzdOupvw,WEIMA Shredder ZMK 50 zerkleinert PE-Blutplasma-Flaschen,"Oct 11, 2013",52,0.6345,0,924,3.25
r2Vrzambsfg,"WEIMA Maschinenbau Shredder / Hacker Spider - Seile, Schnüre","May 31, 2012",52,0.6756,0,823,1.7
PnZ-x1x5LCQ,WEIMA WLK 800 shreds PE/PU pipes,"Apr 15, 2016",50,0.5237,0,1326,1.43
sAabof0F360,WEIMA at LIGNA 2015 in Hannover,"May 18, 2015",50,0.5941,0,950,3.79
HV1azjHoE3I,WEIMA shredder Spider 1500 H shreds bed covers,"May 27, 2014",49,0.7108,0,1414,1.49
MwYE_BRnUlQ,WEIMA Spider 1500 shreds film bundles,"Apr 27, 2016",49,0.5073,0,1264,2.14
l7Yhc8QyKlg,WEIMA WLK 800 shreds Flip Flops stamping waste,"Jun 16, 2016",49,0.3534,0,1620,1.91
C9ib12l1CNU,WEIMA Spider 1500 shreds big LD-PE lumps,"Feb 10, 2015",48,0.6021,0,1152,2.17
NprwaUcPHlQ,WEIMA WLK 800 shreds PE plastic lumps,"Apr 27, 2016",47,0.4541,0,1345,1.71
 -CZFPHTVnko,"WEIMA WKS 1800 Hydro shreds towels, clothing (from the hospital) in bales",,45,1.0231,0,69,4.35
S-l9hbujZtM,WEIMA Shredder WLK 10 - PET Fasern,"Mar 27, 2013",45,0.4555,0,655,2.6
BYi_FCSGPro,WEIMA WLK 800 & C 150 shred and compact fiber glass boards,"Feb 11, 2016",43,0.4647,0,966,2.8
TR6vJlol3i4,WEIMA shredder WLK 15 shreds PVC floorings,"May 23, 2014",43,0.9658,0,995,1.81
VjnK7A1OajE,WEIMA Maschinenbau Spider 1500 H schreddert Agrarfolie agrofoil,"Aug 20, 2012",43,0.4793,0,803,3.61
ai-4kCZ4q5I,WEIMA ZM shreddert Auto Armaturen Bezug,"Nov 9, 2012",42,0.5026,0,767,2.61
KLSyz37JPAg,WEIMA WPL 1500,,41,1.1155,0,28,3.57
68IjA09NQ8U,WEIMA Service | Wartung eines Einwellen-Zerkleinerers,,40,1.3116,0,42,7.14
J2npMmiH8F4,WEIMA Zerkleinerer Spider 1500 H shreddert Vlies,"Feb 8, 2013",40,0.4035,0,711,3.23
QddTUwj7RcQ,Food packaging shredding with WEIMA WLK 1500 plastic shredder,"Dec 5, 2016",40,0.1676,0,2037,1.18
5bEPVA04tpA,WEIMA Maschinenbau Shredder / Zerkleinerer WLK15  - Zellstoff,"Mar 10, 2011",39,0.5038,0,602,4.65
BdG7CL08Hkc,WEIMA Spider 1500 H Shredder - Plastic Bag Shredding,"May 12, 2014",38,0.4156,0,1305,1
KbjPLRUl-IY,WEIMA Shredder WLK 4 zerkleinert Faserplatten,"Oct 29, 2013",38,0.4619,0,823,3.52
Zpl_T4xEob8,WEIMA Four-shaft shredder ZMK 50 shreds wet wipes,"Jun 22, 2016",38,0.2926,0,1296,1.62
g0p1l56cTmQ,Wartung Zerkleinerer V1,,38,2.7133,0,51,5.88
vRl5NlggvJg,WEIMA Shredder Spider 1500 H - PET Fasern,"Dec 10, 2012",38,0.6333,0,764,2.62
ypf84Yz8tUA,WEIMA Zerkleinerer WLK 4 shreddert Klebefolie / adhesive foil shredding,"Jul 12, 2013",38,0.5533,0,756,2.12
1xc5wF3_mHQ,WEIMA WLK1500 shredder shreds cellulose,"Aug 19, 2014",36,0.597,0,309,5.5
Fgs8eYA2jJA,WEIMA Zerkleinerer WLK 4 shreddert Spritzen / medical waste shredding,"Jul 12, 2013",36,0.4065,0,745,2.01
m7fS09QbUIw,WEIMA WLK 1500 shreds automotive carpet (Komárom),,36,0.6214,0,53,3.77
FtaJdU3lnEY,WEIMA WLK Baureihe,"Jul 16, 2018",35,1.9469,0,1722,1.57
HAQkNTlLu2o,WEIMA plastic shredder WLK 800 shreds polymer scrap,"May 27, 2014",35,0.2259,0,1369,1.46
g2j9Vnzyvno,WEIMA Spider 1500 shreds toiletries,"Feb 3, 2014",35,0.4363,0,747,2.41
rs3xd_p9hDI,WEIMA WLK 1500 shredding of Skis,"Sep 12, 2018",35,0.2458,0,1798,0.95
8u7t11lFRPw,Shredding cartonplast with the WEIMA shredder WLK 1500,"Sep 12, 2018",34,0.3943,0,2139,1.03
LL2uFS5YBxs,WEIMA Maschinenbau Spider 1500S 90kw 40mm Sieb Big Bags,"Mar 25, 2011",34,0.7706,0,756,2.51
Yat7JojDRIE,WEIMA Service | Wartung einer Brikettierpresse mit Zangentechnologie,,34,2.0136,0,37,2.7
nHeoRrvvMDQ,WEIMA Shredder WLK 10  - PA Fasern,"Mar 27, 2013",34,0.3609,0,561,1.43
9ogUMcy0YZ4,WEIMA WLH 300 Horizontal-Zerkleinerer shreddert PE-Rohrisolierungen,"Mar 11, 2014",33,0.3899,0,836,2.15
HD3gOh1ossI,WEIMA PowerLine Service,"Dec 9, 2013",33,0.9546,0,0,
Ca9DfOKP4Cg,WEIMA Zerkleinerer WLK 4 schreddert PTFE Rohlinge,"Jul 16, 2014",32,0.4261,0,1074,1.96
_ap79vsQucY,Still freezing at the German headquarters,"Jan 25, 2017",32,0.1214,0,4811,0.52
bq7uggay9VI,WEIMA Maschinenbau Zerkleinerer / Hacker WLK15 Hydro + WNZ 500-600 PVC,"Jun 10, 2011",32,0.5838,0,778,2.31
d-I2Pb6xbaA,"WEIMA @ Aluminium Messe 2016, Düsseldorf","Dec 9, 2016",32,0.4038,0,2346,0.68
xAx7aKT_UU0,WEIMA Maschinenbau Zerkleinerer / Hacker WLK15 90kw PVB Folie,"Mar 10, 2011",31,0.661,0,661,2.57
NJmzHU-FhjY,WEIMA Service | Austausch der Führungsleisten,,30,1.2704,0,3,33.33
Nr_IFvLHM9Y,Waste shredding with WEIMA,"Sep 28, 2015",30,0.3046,0,1236,1.38
2xpz9jfeC8Q,WEIMA Maschinenbau WLK6S - Gewächshaus Folie / greenhouse film,"Jul 9, 2012",29,0.3099,0,1104,1.18
5l47cdD10LY,WEIMA Maschinenbau WLK4 - zerkleinert Polycarbonat Anfahrklumpen / shredding polycarbonate lumps,"May 22, 2012",28,0.3214,0,734,2.04
dUVGRSucJZY,WEIMA shredder Spider 1500 H shreds Fiber,"Feb 20, 2014",28,0.2118,0,955,1.68
pFjVGDTNWqQ,WEIMA Maschinenbau Zerkleinerer / Hacker WLK 4 Polstermaterial,"Jul 6, 2011",28,0.3063,0,695,2.3
zuadc7CW8-w,WEIMA Service | Austausch der Führungsleisten,,28,1.5472,0,14,14.29
68Ml2vy042A,Start plastic recycling today!,"Oct 12, 2015",27,0.3213,0,1305,1.15
JP-E1veb4tA,Paper recycling at its best,"Oct 29, 2015",27,0.3168,0,1364,1.32
g1uNyN-5OaI,WEIMA Shredder Spider 1500 H - Kautschuk / rubber,"Jan 10, 2013",27,0.3367,0,860,1.28
HHGdHUGNJgI,WEIMA @ IFAT 2016 Time Lapse,"Jun 6, 2016",26,0.0902,0,1486,1.35
YflccMaFUcg,// Nicht verwenden // Briquetting Balsa wood dust with WEIMA C 150,,26,0.1908,0,41,7.32
iGZMWux8dBk,WEIMA WLK 1000 and ZM 30 shreds foam,,26,0.5618,0,7,0
1OayUWc7H7Q,WEIMA Spider 1500 H shreds multifilaments,"Feb 20, 2014",25,0.419,0,738,1.76
1YdfbJU6dEE,WEIMA Wayfinding Time Lapse,"Aug 4, 2016",25,0.1825,1,1692,0.95
bMQpwEyQs9g,WEIMA Maschinenbau Spider zerkleinert Auto-Klebefolie,"Jun 19, 2012",25,0.3967,0,791,1.9
ivc0bUgk7Cc,WEIMA Maschinenbau Shredder Spider 1500H 90kw Verpackungsschnüre,"Oct 26, 2011",25,0.6132,0,592,2.03
7XHBJem5vxY,WEIMA PowerLine 2500 shreds rigid post-consumer plastics HDPE waste bins at VEOLIA in Sweden,"Oct 6, 2020",24,0.5045,0,32,12.5
FP0UrfHS_fA,WEIMA Shredder WLK 15 zerkleinert PVC Dachabfälle / roofing scrap,"Jun 3, 2013",24,0.2399,0,941,1.59
L95tQoDylJU,"WEIMA Service | WL 4, WL 6, WL 8",,24,1.4765,0,24,0
QpEfo64wU30,WEIMA WLK 1000 shreds PP packing strings,,24,0.5937,0,8,12.5
S_-WXIecT3Q,WEIMA Maschinenbau Hacker / Shredder WLK 4 - Filz / felt,"May 24, 2012",23,0.2989,0,1089,0.92
iGo_MhCxMyg,Winter Dawn @ WEIMA,"Jan 10, 2017",23,0.1334,0,3249,0.43
3hrD9quxGmU,WEIMA MediCutter,,22,0.4645,0,52,3.85
C3e7gtSAWC4,WEIMA / The Size Reduction Experts,"Sep 7, 2015",22,0.2452,0,785,1.02
CFSC8vF-kBc,WEIMA WLK 1500 lump Shredder,,22,0.1938,0,0,
iCVq0TagID0,WEIMA WLK 20 Jumbo shreds pulper waste,,21,0.2109,0,0,
2mzxTZwy65w,WEIMA Maschinenbau ZMK50 und TH900S Duo Brikettierpresse - Auto Innenverkleidung,"Jun 14, 2012",20,0.2984,0,1027,1.17
FfjXdbVxZBw,WEIMA Metall-Shredder WMS 600 - Energiespar Lampen,,20,0.4019,0,43,20.93
 -L31PdnCO7A,WEIMA Zerkleinerer WLK 8 - HDF Platten,"Feb 18, 2013",19,0.1894,0,778,1.16
Vu993G22IM8,WEIMA Maschinenbau Einwellen-Shredder Spider 1500 H - Netze / nets,"Jun 5, 2012",19,0.1573,0,695,2.01
Die 500 be­sten Er­geb­nis­se wer­den an­ge­zeigt
